factura_numero,fecha_venta,local_codigo,total_bruto,total_impuestos,total_neto,comprobante,hora_transaccion
10000,2023-01-01,L001,295.87,26.90,268.97,BE-10000,13:20:12
10001,2023-01-01,L001,168.19,15.29,152.90,BE-10001,21:08:23
10002,2023-01-01,L001,519.70,47.25,472.45,BE-10002,14:59:35
10003,2023-01-01,L001,45.57,4.14,41.43,BE-10003,15:46:27
10004,2023-01-01,L001,178.70,16.25,162.45,BE-10004,20:47:37
10005,2023-01-01,L002,86.92,7.90,79.02,BE-10005,12:58:40
10006,2023-01-01,L002,399.97,36.36,363.61,BE-10006,16:27:46
10007,2023-01-01,L002,487.19,44.29,442.90,BE-10007,14:32:35
10008,2023-01-01,L002,215.42,19.58,195.84,BE-10008,18:22:42
10009,2023-01-01,L003,241.60,21.96,219.64,BE-10009,12:39:08
10010,2023-01-01,L003,193.63,17.60,176.03,BE-10010,13:41:55
10011,2023-01-01,L003,549.84,49.99,499.85,BE-10011,12:02:05
10012,2023-01-01,L003,26.77,2.43,24.34,BE-10012,14:23:20
10013,2023-01-01,L003,352.01,32.00,320.01,BE-10013,12:02:05
10014,2023-01-02,L001,335.92,30.54,305.38,BE-10014,16:09:43
10015,2023-01-02,L001,232.57,21.14,211.43,BE-10015,20:48:32
10016,2023-01-02,L001,248.31,22.57,225.74,BE-10016,11:53:55
10017,2023-01-02,L001,508.86,46.26,462.60,BE-10017,10:25:05
10018,2023-01-02,L001,441.42,40.13,401.29,BE-10018,20:09:43
10019,2023-01-02,L002,47.62,4.33,43.29,BE-10019,11:23:06
10020,2023-01-02,L002,490.27,44.57,445.70,BE-10020,16:08:07
10021,2023-01-02,L002,546.84,49.71,497.13,BE-10021,21:10:49
10022,2023-01-02,L003,526.52,47.87,478.65,BE-10022,11:52:49
10023,2023-01-02,L003,170.62,15.51,155.11,BE-10023,10:30:21
10024,2023-01-02,L003,356.03,32.37,323.66,BE-10024,12:43:49
10025,2023-01-03,L002,316.48,28.77,287.71,BE-10025,20:31:31
10026,2023-01-03,L002,436.93,39.72,397.21,BE-10026,13:46:23
10027,2023-01-03,L003,512.69,46.61,466.08,BE-10027,21:49:34
10028,2023-01-03,L003,265.18,24.11,241.07,BE-10028,19:29:48
10029,2023-01-03,L003,46.22,4.20,42.02,BE-10029,20:28:40
10030,2023-01-03,L003,117.65,10.70,106.95,BE-10030,10:19:42
10031,2023-01-04,L001,243.90,22.17,221.73,BE-10031,16:29:55
10032,2023-01-04,L001,180.58,16.42,164.16,BE-10032,19:36:26
10033,2023-01-04,L001,209.06,19.01,190.05,BE-10033,19:02:26
10034,2023-01-04,L002,64.61,5.87,58.74,BE-10034,20:22:02
10035,2023-01-04,L002,73.22,6.66,66.56,BE-10035,15:49:59
10036,2023-01-04,L003,207.39,18.85,188.54,BE-10036,12:49:25
10037,2023-01-04,L003,483.54,43.96,439.58,BE-10037,16:14:29
10038,2023-01-04,L003,219.97,20.00,199.97,BE-10038,17:36:47
10039,2023-01-05,L002,42.58,3.87,38.71,BE-10039,11:00:24
10040,2023-01-05,L002,122.51,11.14,111.37,BE-10040,15:16:02
10041,2023-01-05,L002,271.62,24.69,246.93,BE-10041,14:47:52
